ank	अंक
prathmikta	प्राथमिकता
prathmiki	प्रथमिकि
pradhyapakon	प्रध्यापकों
prapt	प्राप्त
prapta	प्रपत्ता
prapti	प्रप्ति
praroop	प्ररूपुर
prarup	प्ररूप
priyamani	प्रियमनी
proof	प्रूफ
pruf	प्रफू
prekshakon	प्रेक्षकों
prem	प्रेम
premlata	प्रेमलाटा
prema	प्रेमा
premi	प्रेमी
profit	प्रोफाइट
processing	प्रोसेसिंग
programers	प्रोग्रामर्स
programmers	प्रोग्रामेर्ड
programs	प्रोग्राम्स
proto	प्रोतो
propellant	प्रॉपेलेंट
propellent	प्रॉपलेंट
praudh	प्रौढ़
proud	प्रौड
plan	प्लान
plane	प्लाने
fund	फंड
funda	फुंडा
funding	फुंडिंग
fandon	फांडों
fagua	फगुआ
fatane	फताने
phatane	फटने
phatne	फटने
fadfadata	फड़तबता
phadphadata	फड़फेड़ता
fatehgadh	फतेहगढ़
fatehgarh	फतेहगढ़
fabti	फाबती
phabti	फब्ती
farse	फरसे
pharase	फरासे
pharse	फरसे
farheen	फरहीन
farhin	फरहीन
farth	फर्थ
ferth	फर्थ
pharth	फर्थ
farmion	फारमियन
fermion	फेरमियन
firmian	फर्मियां
farookhabad	फारूकबाद
farrukhabad	फरुर्खाबाद
farukhabad	फारूकबाद
farookhnagar	फारूगनगार
farrukhnagar	फर्रुधनगर
farukhnagar	फारुधलांग
falata	फलता
falta	फालता
phalata	फलता
falne	फालने
phalne	फालने
falitarth	फलीतार्थ
phalitartha	फलीतर्थ
falibhoot	फलीभूत
falibhut	फलीभूत
phalibhoot	फलिभूत
favvara	फाववरा
fawaara	फवारा
favvare	फाववरे
fawaare	फावरे
favvaron	फाववरों
fawaaron	फावरों
faisala	फैसला
faisla	फैसला
follow	फोलोव
faansi	फांसी
fansi	फांसी
fatama	फटमा
fatma	फट्मा
faaf	फाफ
phaaph	फाफ
farsi	फरसी
forcee	फोर्सी
farm	फार्म
form	फॉर्म
farmic	फार्मिक
formic	फॉर्मिक
formulae	फॉर्मूलिया
formule	फॉर्मूल
formuley	फॉर्मूली
pharmacy	फार्मेसी
pharma	फर्मा
pharmon	फार्मों
farms	फार्म्स
finger	फिंगर
fikra	फिक्र
physician	पाइसिकन
firti	फर्ती
fisla	फिसला
fislaa	फिसला
feeder	फीडर
fulaaye	फुलाए
fulae	फुलाई
fulay	फुलाय
furti	फुरती
phurti	फुरती
fus	फूस
phoos	फूस
phus	फूस
feka	फेका
fefada	फफेडा
fefda	फेफ्डा
facial	फैसियल
fact	फैक्ट
federal	फेडरल
failkar	फैलकर
failaaiye	फैलाएय
failaea	फैलाई
failaiya	फैलाइया
failaiye	फैलाइए
failegi	फैलेगी
font	फॉन्ट
fogat	फोगट
phogat	फोगट
fod	फोड
phod	फोड
foda	फोडा
fodaa	फोड़ा
phoda	फोडा
fode	फोड़े
phode	फोड़े
fodo	फ़ोडो
fodon	फोड़ों
phodo	फोडो
fortis	फॉर्टिस
fusion	फ्सूयन
fuji	फुजी
fyuji	फिब्यी
francisca	फ्रांसिक्स
franciska	फ्रेंसिकास
fransiska	फ्रांसिक्स
francisco	फ्रांसिक्स
francisko	फ्रेंसिक्क
fransisko	फ्रांसिक्स
fringe	फ्रिंज
friendship	फ्रेंडशिप
frost	फ्रॉस्ट
flin	फ्लीन
flynn	फ्लेन
flesh	फ्लैश
bang	बंग
bung	बंग
bangbandhu	बांगबंध
bangbhang	बांगभंग
bangash	बंगाश
bangsh	बांगश
bantane	बांटने
bantne	बैंटने
bandhati	बंधाती
bandhti	बंधती
bandhan	बंधन
bandhuon	बंधुओं
bamba	बांबा
mumba	मुंबा
bakaayon	बकायों
bakayon	बकायों
bakaul	बकौल
bakoul	बकौल
baksa	बक्सा
baksi	बक्सी
bakse	बक्से
bakhshane	बख़ाशने
bakhshne	बख्षेने
bagad	बागड़
bagd	बग्द
bageechi	बगीची
bagichi	बगीची
bachat	बचात
bachati	बचाती
bachti	बच्ती
bajana	बजाना
bajrangi	बजरंगी
bajaj	बजाज
batalvi	बतलवी
badhachadhakar	बढ़चाधकार
badata	बदता
badhaataa	बढ़ता
badhata	बढ़ता
badhaati	बढ़ाती
badhati	बढ़ती
badhayi	बढ़ायी
badhav	बढ़ाव
badhotari	बढ़ौत्री
badhotri	बढ़तीरी
batlaae	बतलाई
batlaaye	बतलाये
batlae	बतलाई
batlaye	बतलाये
batlaakar	बतलाकर
batlakar	बतलाकर
badlapur	बदलापुर
badali	बदली
badli	बदली
badam	बदम
banva	बनवा
banvaa	बनवा
banaam	बनाम
banam	बन्म
bnaam	बनाम
baniya	बानिया
banu	बानू
barpaayaa	बरपाया
barpaya	बरपाया
barsa	बरसा
barsaata	बरसाता
barsaataa	बरसाता
barsata	बरसता
barhad	बराध
baraat	बारात
barat	बरात
braat	भ्रात
baraamad	बरामद
baramad	बरामद
bramad	ब्रमाड़
baramade	बरामदे
baramde	बरामदे
bare	बारे
birth	बिर्थ
baljeet	बालजीत
baljit	बालजीत
ballabh	बल्लभ
balla	बल्ला
balli	बल्ली
basava	बसवा
bastiyon	बस्तियों
bahroopiya	बहरूपिया
bahrupiya	बहरुपिया
bahamaas	बहामास
bahamas	बहामस
bahaav	बहाव
bahav	बहाव
bhav	भाव
bahavalpur	बहावलपुर
bahawalpur	बहावलपुर
bahuchara	बहुचारा
banthia	बांठी
banthiya	बंठाई
bandhate	बंधाते
bandhte	बंधाते
banbi	बांबी
bombi	बोंबी
bounceron	बौनसोर
bowling	बोलिंग
baku	बाकू
bakuu	बाकू
baag	बाग
bag	बग
bagh	बाघ
bagabani	बागबनी
bagbani	बागबनी
bagali	बागली
bagli	बागली
baagiyon	बागियों
bagiyon	बागियों
baago	बागो
bago	बागो
baji	बजी
bazi	बाजी
bajaru	बाजरू
bazaru	बाजरू
bajuon	बाजूओं
badh	बढ़
badha	बढ़ा
baadhaaon	बाधाओं
baadhaon	बाधाओं
badhaaon	बढ़ाओं
badhaon	बढ़ाओं
baadhit	बाधित
badhit	बाधित
baani	बानी
bani	बनी
baapa	बापा
baapaa	बापा
bapa	बापा
bapaa	बापा
baabat	बाबत
babat	बबात
babt	बब्ट
bayern	बैयर
byrun	ब्यूर्ण
barah	बारह
baarahamaasee	बारहमासी
barahamasi	बराहमासी
barahmasi	बराहमासी
barahsinga	बार्शाइनक
barasingha	बरासिंहा
bala	बाला
baalti	बालती
balti	बालती
balty	बेली
baldvin	बालदवीं
baldwin	बालदवीं
bavaji	बावजी
bavji	बावजी
baawaraa	बावरा
bavra	बावरा
bawara	बावरा
baahulya	बाहुल्य
bahuly	बहुल्य
bahulya	बहुल्य
box	बॉक्स
bikherati	बिखेरती
bikherti	बिखरीती
biggest	बिग्गेस्ट
bichhua	बिछुआ
bichhuaa	बिछुआ
biji	बीजी
busy	बस्य
buzy	बुज्य
bipin	बिपिन
bilae	बिलाई
bilai	बिलाई
billa	बिल्ला
billaa	बिल्ला
bilhaur	बिलहर
bisva	बिस्वा
biswa	बिसवा
bag	बग
bikaner	बिकनेर
bikaneri	बिकनेरी
bk	बीकी
beejak	बीजक
bijak	बीजक
beef	बेफ
beem	बीम
bim	बीम
beemon	बीमों
bimon	बीमों
beerganj	बीर्गंज
birganj	बिरगंज
beesavaan	बीसवां
bisavan	बिसवन
bisawan	बिसवन
beast	बिस्ट
budvig	बुड्विग
budwig	बुडविग
bull	बॉल
bulaao	बुलाओ
bulao	बुलाओ
bule	बुले
bulletin	बुलेलीन
brijesh	ब्रेजेश
benvar	बेनवर
benwar	बेनवर
beaulad	बुलाद
bekaaboo	बेकाबू
bekabu	बेकबू
bechakar	बेचकर
bechkar	बेचकर
bechate	बेचते
bechte	बेचते
bediyan	बेडियां
bethanal	बेथनल
bethnal	बेथनल
benis	बेनिस
belacha	बेलचा
belcha	बेल्चा
belinda	बेलिंडा
bevkufana	बेफकुवाना
bewakoofaanaa	बेवकूपाला
bewkufana	बेवुकुफाना
besahaaraa	बेसाहारा
besahara	बेसहरा
basin	बसीन
besin	बेसिन
basil	बेसील
besil	बेसिल
bandage	बंदागे
bandej	बंदेज
baithantey	बैठांते
baithate	बैठाटे
baitool	बैटूल
baitul	बैटल
betul	बेटल
baini	बैनी
beni	बेनी
bairakpur	बैराकपुर
barrackpore	बर्रकपिर
baila	बैला
bella	बेल्ला
ballistic	बैल्लिसिटिक
bells	बेल्स
bostan	बोस्टन
bosten	बॉस्टन
boston	बोस्टन
bokaro	बोकरो
bodara	बोदरा
bodra	बोदरा
bodraa	बोदरा
bona	बोना
borkar	बोरकर
borivali	बोरिवाली
boriwali	बोरिवाली
born	बॉर्न
bolane	बोलने
boliae	बोलिया
boliy	बोलीय
boliye	बोलीय
bosaan	बोसन
bosan	बोसन
bauni	बौनी
bouni	बौनी
byaawa	ब्यावा
byavar	ब्यावर
brajesh	ब्रेजेश
brijesh	ब्रेजेश
brahmalin	ब्रह्मलीन
brahmleen	ब्रह्मलीन
brahmlin	ब्रह्मलीन
bravo	ब्रेवो
brigatn	ब्रिगेंट
brighton	ब्रहोटन
brigton	ब्रिग्टन
brigadier	ब्रिगाइड
britain	ब्रिटें
breed	ब्रीड
brock	ब्रॉक
brok	ब्रोक
broke	ब्रॉक
brocken	ब्रॉकें
broken	ब्रोकें
blosam	ब्लोसम
blossom	ब्लोसम
bhagaane	भगाने
bhagane	भागने
bhadakaaya	भड़काया
bhadakaya	भड़काया
bhadkaayaa	भड़काया
bhadkaya	भड़काया
bharakaaya	भड़काया
bharakaya	भड़काया
bhabhoot	भभूत
bhabhut	भाभूत
bhay	भाय
bhaya	भाया
bhayo	भायो
bharatanatyam	भरातनंप्य
bharatnatyam	भारतंतयम
bhartnatyam	भर्तनात्यम
bharate	भराते
bharte	भरते
bharani	भरानी
bharni	भरणी
bharane	भराने
bharne	भरने
bhara	भरा
bhavishya	भविष्य
bhaate	भाते
bhate	भाटे
bhanu	भानु
bhabar	भाबर
bhareeye	भरीय
bhariy	भरीय
bhavanaon	भवनाओं
bhavnaon	भावनाओं
bhaskar	भसकर
bheed	भीड
bheera	भीरा
bhira	भीरा
bheesham	भीस्म
bhisham	भिष्म
bhishm	भीष्म
bhugat	भूगत
bhugata	भुगता
bhugta	भुगता
bhutto	भूटतों
bhumi	भूमि
bhurbhura	भुरभुरा
bhookh	भूख
bhukh	भूख
bhookhi	भूखी
bhukhi	भूखी
bhoogol	भूगोल
bhugol	भूगोल
bhootal	भूतल
bhutal	भूतल
bhoopsingh	भूपिंग्ष
bhupsingh	भूपिंग्ष
bhumi	भूमि
bhumika	भूमिका
bhulata	भूलता
bhulataa	भूलता
bhulta	भूलता
bhula	भुला
bhulaa	भुला
bhooli	भूली
bhuli	भूली
bhulo	भूलो
bhulon	भूलों
bhusi	भूसी
bhooswaami	भूस्वामी
bhusvami	भूस्वामी
bhuswami	भूस्वामी
bhengapan	भेंगापन
bhairavnath	भैरावनाथ
bhairo	भैरो
bhogatey	भोगते
bhogte	भोगते
bhola	भोला
bholi	भोली
bholu	भोलू
bhaunho	भौंधों
bhaunhon	भौनहों
bhoonhon	भूनोहों
bhraant	भ्रंत
bhrant	भ्रंत
brant	ब्रंट
bhraanti	भ्रणती
bhranti	भ्रणती
branti	ब्रंटी
bhraantiyan	भ्राणतीय
bhrantiyan	भ्रांतियां
bhraantiyon	भ्राणितियों
bhrantiyon	भ्रांतियों
mangesh	मंगेश
manch	मैंच
manchit	मानचित
mancheeye	मानचिये
manchiy	मंचिय
manchiya	मंछिया
manchon	मंचों
manjil	मांजिल
manzil	मांजील
manjila	मांजीला
manzila	मनजीला
manjilein	मांजीलें
manjilen	मांजीलें
manzilein	मांझिलें
manto	मांटो
mantriyon	मंत्रियों
makrani	मकरानी
maksad	मकसद
makhdumpur	मखमूदपुर
machaaye	मचाए
machae	मचाई
machaye	मचाये
machaanon	मचानों
machanno	मचनानो
machano	माचनों
machanon	मचानों
madaura	मदौरा
madhuara	मधुरा
madhura	मधुरा
manipal	मनिपाल
matpatron	मत्तप्रों
matthe	मैथे
matsyavatar	मत्स्यवस्ताओं
matsyavtar	मत्सीयवर्ता
masyendranath	मस्मीनाद्रेच
matsyendranath	मातस्वैंशन
madhupur	मधुपुर
manmarji	मनमर्जी
manae	मनाई
manaye	मनाये
mnaey	मनाए
mam	माम
mum	मुम
maryokar	मार्यकर
mayorka	मयूरका
mayorkaa	मैयूग्ता
mardaani	मर्दानी
mardani	मर्दानी
marmar	मरमार
murmur	मूरमुर
maratha	मर्ठा
marathi	मराठी
marji	मर्जी
mardanagi	मर्दनागी
mardangi	मरदंगी
mardo	मार्डो
mardon	मरदों
maryaadaa	मर्यदा
maryada	मर्यदा
maryaadaaon	मर्यादान
maryadaon	मर्यदाओं
malaga	मालागा
malaar	मलार
malar	मलार
mashrak	मश्रक
masaaledaar	मसालेदार
masaledaar	मासलेडार
masaledar	मसलेदार
masoor	मसूर
masur	मसूर
masse	मसेस
mahakane	महकने
mahakne	महकने
mahkane	महकने
mehkane	महकाने
mahalon	महलों
mahlon	महलों
mahagranth	महाग्रंथ
mhagranth	महाग्रंथ
mahajan	महाजन
mhajan	महाजन
mahathir	महाथिर
mhathir	महातिहर
mahanatam	महानतम
mahantam	महांतम
mhantam	महांतम
mahanideshak	महानिदेशक
mahanirdeshak	महानेद्रेशक
mhanideshak	महानिदेशक
mahapauron	महापौरों
mhapauron	महापुरों
mahapran	महाप्रण
mhapran	महापरण
mahamantr	महामंत्र
mahamantra	महामंत्र
mhamantra	महामंत्र
maharaja	महाराजा
mahavigyan	महाविज्ञान
mhavidyan	महाविद्यान
mahavidya	महाविद्या
mhavidya	महाविद्या
mahavishnu	महाविशीनु
mahasingh	महासिंघ
mahasinh	महासिध
mahipal	महिपाल
mahin	महिन
mahinon	महिनों
maang	मांग
mang	मांग
mangani	मंगानी
mangni	मंगनी
maanga	मांगा
manga	मंगा
maangi	मांगी
mangi	मंगी
maange	मांगे
mange	मांगे
mango	मंगों
maori	मारी
maajin	माजिन
majin	माजिन
mathe	माथे
mathey	मैथे
maap	माप
map	मैप
mop	मॉप
mamooli	ममूली
mamuli	ममुली
mame	मामे
maarvaad	मारवाद
marvad	मारवाद
marwar	मरवर
maariya	मारिया
mariya	मरिया
maariyo	मारियो
mario	मरियो
mariyo	मरियो
martha	मर्था
maalish	मालीश
malish	मालिश
mave	मावे
mavey	मेवे
maas	मास
mas	मास
mass	मस
maason	मासों
mason	मसों
mitaao	मिटा
mitao	मिटा
mithaai	मीठाई
mithai	मीठाई
media	मेडिया
mithila	मिथिला
mithilanchal	मिथलेंचल
mithya	मिठ्या
mimicry	मिमिक्री
milkiyat	मिलकियत
misha	मिशा
mungeri	मुंगरी
mundva	मुंडवा
mundwa	मूंडवा
munshiganj	मुशनिग्रज
mukarte	मुकरते
mukartey	मुकारते
mukhopadhyaya	मुखायोष्म्या
mukhyopadhyaay	मुख्योपयधय
mukhyamantri	मुख्मन्तरी
munaf	मुनाफ
munafa	मुनाफा
munnu	मुनुण
mufalisi	मुफालिसी
muflisi	मुफलिसि
mubarakpur	मुबरूकपुर
mubarkpur	मुबर्कपुर
murjha	मुरझा
multae	मुलताई
multai	मुलताई
mushahid	मुशाहिद
muhavare	मुहावरे
muhavre	मुहावरे
mooth	मूथ
muth	मुथ
mood	मूड़
mud	मुड़
moodi	मूडी
moody	मूद्य
mool	मूल
mul	मूल
moolchand	मूलचंद
mulchand	मूलचंद
moolar	मूलर
mular	मूलर
muller	म्लुलर
moolon	मूलों
mulon	मूलों
maxico	मैक्सिको
mexico	मैक्सिको
mega	मेगा
megapixal	मैगापिसल्क
megapixel	मैग्पिस्टल
mejbaan	मेजबन
mejban	मेजबन
mezbaan	मेजबान
mejabani	मजाबानी
mejbaani	मेजबनी
mejbani	मजबनी
mezabani	मजाबानी
mejbaan	मेजबन
mejban	मेजबन
mezbaan	मेजबान
mejbaani	मेजबनी
mejbani	मजबनी
mezbaani	मजबानी
mate	मेट
met	मेट
mates	मेट्स
medical	मेडिकल
methanol	मेथनोल
menu	मेनु
mem	मेम
melaghaat	मेलाघात
melghat	मेलघत
melaanin	मेलानिन
melanin	मेलनीन
melaani	मेलानी
melani	मेलनी
maheman	महामन
mehamaan	मेहमान
mehaman	मेहमान
mehmaan	मेहमान
mehman	मेहम
meharaam	मेहराम
mehram	मेहरम
macbook	मैकबुक
matix	मेटिक्स
matrix	मेट्रिक्स
mad	मैड
made	मेड
maid	मैड
maddy	मद्ध
maidi	मैदी
main	मैं
man	मन
men	मेन
mainan	मैनन
menon	मेनों
manner	मन्रेर
maina	मैना
maine	मैने
marrej	मरेज
marriage	मैरिज
merraige	मेरेज
maisachusets	मैसाउक्शस्ट
massachusetts	मैसाउचेस्टेक्ट
maisor	मैसोर
maisore	मैसोर
mysore	मैसोर
mod	मोड़
mode	मोड़
modern	मोडर्न
module	मोडले
modules	मोडल्स
modyuls	मोडियल्स
mauritious	मौरीशस
mauritius	मॉरीशस
mogali	मोगली
mowgli	मोगली
motive	मोटिवे
mol	मॉल
mold	मॉल्ड
moshe	मोशे
mosad	मोसाड़
mohana	मोहना
mohani	मोहनी
mohini	मोहिनी
mohim	मोहिम
maukon	मौकों
mauma	मौमा
maurya	मौर्य
morya	मोरया
maurya	मौर्य
mauryon	मौर्यों
moryon	मॉरियन
maulaviyon	मौलवियों
maulvidon	मौलविद
maulviyon	मौलवियों
maule	मॉले
mauley	मॉले
mausa	मौसा
yatn	यतन
yatna	यातना
yada	यादा
yda	याड़
yaduvansh	यादुवांश
yaduwansh	यादुवांश
jerusalem	जेरूसलम
yarooshaleim	यारूच्रिम
yarushalem	यारुश्लम
yashpaal	यशपाल
yashpal	यशपल
yaatna	यातना
yatna	यातना
yaatanaon	यातानाओं
yatnaon	यातनाओं
yarayan	यायरण
yatraein	यतार्एं
yatraen	यतार्णी
yaariyan	यारियां
yariyan	यारियां
yaari	यारी
yari	यारी
yugam	युगम
yugm	युग्म
yuddhrat	युद्धरत
yudhrat	युद्धरत
ukrainian	उक्रेयनियां
ukranian	उक्रानियां
jerusalem	जेरूसलम
yorker	योरकर
yojanaein	योजनाएं
yojanaen	योजनाएं
yojanaye	योजनाये
rangate	रंगते
rangte	रंगते
rangkata	रंगकता
ranjkatha	रंजकथा
ranjkta	रंजकता
raees	रायस
rais	राइस
raktaabh	रक्तभ
raktabh	रक्तभ
rakhna	रखना
raghupati	रघुपति
raghuram	रघुरम
registerd	रिजिस्टर्ड
registered	रिजर्सिट्ड
ratanpur	रतनपुर
runners	रूनर्स
rayan	रायन
ryan	रायन
ralhan	रालहण
ravish	रवीश
ravael	रवेल
ravel	रेवल
rawail	रवैल
rasad	रसड़
rasaayanik	रसायानिक
rasaayanika	रसायानिका
rasayanika	रसायानिका
rasyanik	रास्यनिक
rasaayanon	रसायानों
rasayanon	रसायनों
rahamat	रहमत
rahmat	रहमत
rhamat	रहमत
rahenge	रहेंगे
rahegi	रहेगी
rounder	रूंदर
raak	राक
rak	रक
raakhe	राखे
rakhe	रखे
raagon	रागों
ragon	रगों
raghavan	रघवान
raaj	राज
raj	राज
rajkot	राजकोट
rajtantra	राजतंत्र
raajneetikaran	राजनीताकरण
rajneetikaran	राजनीतिकर्ण
rajnitikaran	राजनीताकरण
rajma	राजमा
rajman	राजमान
raajasva	राजस्वा
rajasva	राजस्वा
raaji	राजी
raji	राजी
rajinaama	राजीनमा
rajinama	राजीनमा
raajon	राजों
rajon	राजों
rana	राना
raatrichar	रातरीचार
ratrichar	रातरीचार
raadhe	राधे
radhe	राढ़े
ranapur	रानापुर
rabin	रबीन
robin	रॉबिन
rabha	राभा
ramkot	रामकोट
ramkote	रामकोट
ramtek	रामतेक
rampur	रामपुर
rambharose	रामभारोस
rambharosey	रामभारेशी
ramraj	रामराज
raalod	रालोद
ralaud	रालौद
ralod	रालोद
ravaley	रावले
ravle	रावले
rasayanik	रसायानिक
racreation	रैस्टाइन
recreation	रिक्रीशन
rig	राइग
riggs	राइग्स
rigs	राइग्स
richual	रिचुल
ritual	ऋतुल
reduction	रेडेक्शन
ripan	रिपन
ripon	रिपों
ria	रिया
riya	रिया
rishte	रिश्ते
rishtey	रिश्ते
risane	रिसने
risaney	रिसने
risne	रिशने
rihana	रिहाना
rihanna	रिहनना
regal	रेगल
rigal	रिगल
reasonal	रियोनेकर
regional	रेजिनाल
retreate	रेट्राइट
retweet	रितवीत
reeta	रीता
rita	रीता
rukate	रुकते
rukte	रुकते
ruktey	रुकते
rugan	रूग्ण
rugna	रूग्ण
ruganta	रूगानता
rugnata	रूग्नता
rojvelt	रॉजेवेल्ट
roojwelt	रूजवेल्ट
roosevelt	रूज़ेवल्ट
rodolph	रोडोलफ्री
rudolf	रूडोल्फ
rudolph	रूडोल्फ
roopesh	रुपेश
rupesh	रूपेश
ruby	रूबी
roomani	रूमानी
rumani	रूमानी
rukavaton	रुकावटों
root	रुट
route	रुते
rooting	रूटिंग
routine	रोटिन
routing	रुटिंग
roots	रुट्स
routes	रूटस
roopak	रुपक
rupak	रुपक
roopi	रुपी
rupi	रुपी
rantle	रंतले
rental	रेंटल
registan	रेजिस्टन
registani	रेजिस्टानी
reja	रेजा
reza	रेजा
rate	रैट
rate	रैट
ret	रेट
refaeli	रेफाली
refeli	रेफली
reshe	रेशे
reshey	रेशे
race	रास
rese	रेस
racer	रेसर
recer	रेसर
racing	रासिंग
reson	रेसों
rehaana	रेहाना
rehana	रहना
racketeer	राकेटिर
racketier	राकेटियर
rectare	रेक्टर
radical	राडिकल
raidical	राडिएकल
raith	राथ
rapping	रैपिंग
wrapping	रैपरिंग
robertsan	रॉबर्टन्स
robertson	रॉबर्टन्स
robinson	रोबिंसों
royals	रोयेल्स
rojlin	रोजलीन
rozlyn	रोजलिन
rotation	रोटेशन
rodrigo	रोडरोगों
ronaldo	रोनाल्ड
ronit	रोनिट
roni	रोनी
ropane	रोपने
ropaney	रोपने
ropne	रोपने
robin	रॉबिन
roya	रोया
rollers	रॉलर्स
rovan	रोवन
rowan	रौने
rosario	रोसरेश
rosariyo	रोसरोयि
raubadaar	रौबदर
raubadar	रौबदर
raubdar	रौबदर
landara	लंदरा
langada	लंगाड़ा
langda	लंगदा
langar	लंगर
langaron	लंगरों
langron	लंगरों
lambi	लांबी
lakeer	लकीर
lakir	लकीर
lakiron	लकरीण
lakme	लकमे
lakshmidhar	लक्ष्मीधार
lakshmighar	लक्ष्मीगार
lakshy	लक्ष्य
lakshya	लक्ष्य
lakshyon	लक्ष्यों
lux	लक्स
laksar	लक्षर
luxor	लाकोर
lakhkhi	लक्खी
lagna	लगना
laganewale	लगनेवाले
lagnevaaley	लगनेवालाय
lagnewale	लगनेवाले
lagega	लगेगा
lajjalu	लजजुल
latkate	लटकते
ladki	लड़की
ladate	लड़ते
ladte	लड़ते
ladaai	लड़ाई
ladai	लड़ाई
ladaaiyon	लड़ाईयों
ladaeyon	लड़ाइयों
ladaiyon	लड़ाइयों
lapetane	लपेटने
lapetne	लपेटने
labada	लबड़ा
lbada	लबड़ा
labdh	लब्छ
lbdh	लीब्च
lalak	लालक
lalkarata	लालकरता
lalkarta	लालकर्टा
lalla	लल्ला
lavasa	लवासा
lovasa	लोवसा
lassi	लासी
lahanaa	लहना
lahna	लहना
lehna	लहाना
lahraee	लहराई
lahrai	लहराई
lehrayi	लहरायी
lahalhati	लहहालति
lahlahaati	लहलहाती
lahlahati	लहलहाती
lahsun	लाहसून
lasoon	लासून
lanchar	लंचर
launcher	लौंचेर
lycopene	लाइकपनी
lime	लिमे
lives	लिवेस
live	लिवे
laegi	लागी
lagataar	लगातार
lagatar	लगातर
laata	लाटा
lata	लाटा
laati	लाटी
lati	लाटी
layega	लाएगा
lalpur	लालपुर
las	लास
last	लास्ट
lindbhed	लिंडबिड
lingbhed	लिंगबेड
lindan	लिंडन
lindn	लिंडन
lindon	लिंडों
likhakar	लिखकर
likhkar	लिखकर
ligar	लिगर
liger	लाइगर
liberation	लिबरेशन
libration	लिब्रेशन
liberation	लिबरेशन
libration	लिब्रेशन
leaderon	लीडेरों
leedaron	लीड़रों
lidaron	लिड़रों
liidaron	लिड़िरों
louis	लुइस
luis	लुज
ludhakate	लुढ़कते
ludhkate	लुढ़कते
lurhakate	लुरहकते
lutf	लुटफ
lumding	लूमिडिंग
lootmaar	लूटमर
lootmar	लूटरम
landal	लंडल
lendal	लेंडल
lega	लेगा
legaa	लेगा
letakar	लेटाकर
letkar	लेटकर
lenevali	लीलेवाली
lenewali	लीलेवाली
label	लबेल
labeling	लेबिंग
labelling	लेबलिंग
labelo	लाबेलो
labelon	लबेलन
lebalon	लेबलों
lemon	लीमों
laingadan	लांगदन
langdon	लंगदों
lengdan	लिंगनड
laigikata	लालिचाता
laingikta	लांगिकता
lanset	लांसेट
lenset	लेंसेट
lairi	लारी
lairy	लायरी
larry	लारी
lace	लेस
less	लेस
locket	लकेट
laundry	लाउंद्री
longewal	लागेंवल
longewala	लंगेवाला
longoval	लोगंवोल
log	लोग
loge	लोगे
lochdar	लोचड़र
lodi	लोड़ी
laurence	लारेंस
laurens	लारेंस
laurense	लारेंस
wonder	यूनेडर
vansh	फांश
vanshdhar	फनशाधर
vanshavad	फनशावड़
vanshvaad	फांशवाद
vanshvad	फांशवाद
wanshwad	णानशवाद
vajood	बाजूद
vajud	बाजूद
wajood	बाजूद
vadali	बादाली
vadli	बादली
wadali	डादली
vanita	बनीता
vareinye	फेरेनी
varenya	बरेन्या
varn	फरन
varna	फरना
varnit	फार्निट
vartamaan	फर्तमान
vartaman	फर्तमन
vartmaan	फर्तमान
vartman	फर्तमन
varddhaman	फर्द्धाना
vardhmaan	फर्धमान
vardhman	फर्धमन
verbal	फेरबाल
varshan	फर्शन
vasharan	फ़शरन
vershan	फेरशन
version	फेर्शन
varsaache	फरसेचे
varsaryache	फरसरिचय
vasearche	फासर्डेल
valkan	बालकन
valkkan	बालकण
velkan	फेलकन
vash	फाश
vashikaran	फशीकरण
vaangchuk	फांगुखुक
vangchuk	फंगुचक
wangchuk	फंगुक्छ
want	यंट
vije	फिजे
vise	फाइस
wise	फाइज
vatar	फटर
water	फेटर
watson	टटसन
wattson	टट्सन
vaan	बान
waan	यान
vaanon	फानों
vanon	फानों
wanon	यौनों
vatanukulan	फटूंकुराओं
watanukoollan	तटुंकुलीतार
vaadak	बादक
vadak	बदक
vaadiyon	बादियों
vadiyon	बादियों
wadiyon	डादियों
vayana	बायना
vayna	बायना
wayna	यावना
wireless	येरेल्स
wirerless	रियरलेस
warrior	यार्रियर
warriors	याररिस
valve	बलवे
wolv	फॉल
vastavik	फस्तवाकि
vastvik	फस्तविक
vaahikayen	बाइखेयन
vahikayen	बहिकाएं
wahikayan	बहिकायान
winter	इंटर
vincent	फिंटेंस
vikalpon	फीकलपों
wicket	यिक्टेक
vikramjeet	फिक्रमीजत
vikramjit	फिक्रमिज्त
vichaarakon	फिचारकों
vicharakon	फिचराकों
vigyan	बिग्यन
vigyaani	बिग्यानी
vigyani	बिग्यानी
vigyaanon	बिग्यानों
vigyanon	बिग्यनों
vitthal	फिटवाल
viththal	फिठताल
vitthal	फिटवाल
vitark	फितर्क
vidhaaein	फिधाईं
vidyaayein	फिड़ायाएं
vidyaen	फिद्याने
vidhaaon	फिधानों
vidyaaon	बिद्याहन
vidyaon	फिद्यान
vidhansabhaein	फिधनशीनाह
vidhansabhaen	फिधनशाहन
vidhivat	फिधिवात
vidhut	फिधूत
vinasht	फीनाष्ट
vineet	फिनिट
vinit	फिनित
vipreetataa	फिप्रीतिता
vipritata	फिप्रितिता
vipra	फिप्रा
vipro	फिप्रो
wipro	यिप्रो
vibha	फिभा
vibhajak	फिभंजक
vibhram	फिभ्रम
vibhrm	फिभ्रम
vibram	फिब्रम
vimarsh	फिमर्श
